RM-TCpol_R	30.297425761614395	18.809859216816644	-36.40297208942632
RM-TCs_R	54.685555036427274	-11.108168850776789	-16.262874097054667
RM-Amyg_R	22.763914394598913	18.311697098729795	-23.97079784930716
RM-PFCoi_R	19.445302177416107	45.35897968481991	-22.45977835548885
RM-IA_R	37.241916461852234	32.167575942737436	-17.61760212988827
RM-PFCom_R	5.925481619424375	48.95042166804637	-22.730785647764904
RM-TCc_R	43.72850799925067	-31.94960694875777	-26.341068069159103
RM-PFCol_R	25.791472617975405	62.50346553173171	-10.392770939242375
RM-TCi_R	26.629446840749203	-33.55544599514564	-28.926084648058254
RM-PHC_R	23.35429562334189	-12.402171478776191	-22.065295100606395
MM82a-G_R	31.63379577239096	41.29943251221498	-7.466981372149835
RM-PMCvl_R	41.18045912845825	36.33601920797063	5.452050616311547
RM-VACv_R	28.285953473265934	-54.556438577586206	-33.7455974931942
RM-Ip_R	40.47409302990384	15.012402416791325	-7.316943834143602
RM-PFCpol_R	7.534383405182197	73.35448827185243	-1.0407321321170753
RM-HC_R	27.046581163068097	0.12375856547831798	-21.551940108831957
RM-CCs_R	3.705681632850875	44.01676829268292	-13.549447408536587
RM-PFCvl_R	34.546313788919704	50.70728827535982	9.19279311600411
RM-V2_R	12.99719686323255	-53.724787915512465	-20.73987458881579
RM-PFCm_R	7.510433861602895	57.0160571374129	-0.8658910877613202
RM-TCv_R	25.79902667393302	-30.760655020801813	-22.136470546520425
RM-VACd_R	30.350268646895696	-58.79297301601747	-8.28046789679651
RM-V1_R	13.57483519359207	-50.553852869861025	-15.31892371163868
RM-PFCcl_R	21.719394305867887	52.638824182912856	19.2804615825688
RM-A2_R	50.105287737794725	-9.441631881768958	-0.7959865749097544
RM-CCr_R	5.9504101406760315	-23.140971483900366	-7.36166748936817
RM-CCp_R	9.403897653218184	-26.472444145927604	5.446037188914024
RM-CCa_R	5.829311600126754	27.017760281735747	14.903881962435236
RM-S2_R	49.73365821915861	-3.135142497461075	4.850705611035885
RM-S1_R	35.51097688436194	-8.674075160573116	26.78649178606719
RM-A1_R	35.72768691734032	-1.4160156250000027	0.7080078124999939
RM-M1_R	27.94278608049666	1.4611597816355015	28.064004675686427
RM-PCi_R	38.01267762318674	-35.69158380681819	15.798718682650865
RM-PCm_R	7.543408436703796	-36.26329164933444	13.47315021838602
RM-PFCdm_R	5.9013234242426575	45.926632707935	30.34024707217973
RM-PCip_R	21.64406598258046	-41.694087215147455	24.60499898266947
RM-PCs_R	13.359549555347485	-33.607494897657354	30.961542016682436
RM-FEF_R	40.514921197598504	12.577020648222938	30.550156502423267
RM-PFCdl_R	21.671077953219662	25.348806778712564	32.67561240930842
RM-PMCm_R	5.28186106251605	18.306199291341226	36.28928869007541
RM-PMCdl_R	20.241746821351363	8.618834485115432	41.15011296324423
TM-F_R	11.200145429528282	5.245006793478254	-7.973896059782608
TM-T_R	10.273423793774532	1.444536218203497	-4.611393332670906
TM-OP_R	18.529291720429725	-2.9221816890495833	-8.90056011105372
BG-Cd_R	14.825938069483469	25.657438172947504	1.024168278936744
BG-Pu_R	25.327236109062707	19.95152118044941	-8.154240150183435
BG-Pa_R	20.369353297074184	15.06813805771955	-10.4415556391643
BG-Acc_R	6.917992698185241	30.543424367495714	-11.30035243353345
RM-TCpol_L	-27.077938089558586	15.340997972190037	-40.715703758690616
RM-TCs_L	-49.71022281888288	-13.73913625751567	-22.673892338013307
RM-Amyg_L	-18.831865353514115	15.828890516072818	-27.086515419248645
RM-PFCoi_L	-18.249462078822877	43.32780035187668	-26.122287617292223
RM-IA_L	-34.678876936189866	30.753809582395956	-23.42161575506187
RM-PFCom_L	-4.666014544245441	46.264232255402156	-24.379994185174066
RM-TCc_L	-37.073563222098805	-35.38049187367865	-29.87010273520084
RM-PFCol_L	-26.90923009792575	60.96024928629691	-13.99224485114193
RM-TCi_L	-21.98695416252931	-31.035331222004476	-32.62385830767077
RM-PHC_L	-17.414734037051645	-13.412195966748774	-26.451874230295566
MM82a-G_L	-30.849314258487926	40.47736905364373	-12.894657768218616
RM-PMCvl_L	-41.089421890940166	34.71149251522328	-1.249640561569696
RM-VACv_L	-15.995896820227307	-52.3795166015625	-37.421630859375
RM-Ip_L	-36.587584214338754	15.523762224938876	-12.625305623471876
RM-PFCpol_L	-7.867556783526419	72.52614387798634	-1.9956271331058013
RM-HC_L	-21.81750394455415	-2.656441907686218	-25.10373539025357
RM-CCs_L	-3.2627135959602613	46.41873150887574	-13.910641642011829
RM-PFCvl_L	-36.05288281679378	51.396097069759215	2.8344104107648738
RM-V2_L	-3.555974307343061	-53.50618455710198	-23.765862789412076
RM-PFCm_L	-7.601471814727067	56.78160312791238	-2.30792753960857
RM-TCv_L	-19.989231792110353	-28.483399281547108	-24.42508575518583
RM-VACd_L	-23.0734801094793	-58.95322047688629	-9.39341562333954
RM-V1_L	-5.545677802581387	-52.5298323270235	-15.830256609007836
RM-PFCcl_L	-22.920547931633617	54.36071378124168	15.160607011100769
RM-A2_L	-44.13964256291075	-10.878427375218916	-7.885220556042027
RM-CCr_L	-2.160778818566822	-24.20783547794117	-7.98426011029412
RM-CCp_L	-6.612680649508659	-23.929146097242924	6.376379703800301
RM-CCa_L	-5.943725821936172	26.846868958434026	14.407010859714841
RM-S2_L	-47.93405738483918	-2.5948420870855444	-2.8055205561809315
RM-S1_L	-37.12331515369693	-7.542221608627862	21.62591768451144
RM-A1_L	-33.424676901196676	-0.07198660714285876	-4.561941964285711
RM-M1_L	-27.613889628083168	-0.47610094947536485	25.14698334854015
